owner,control,type,device,legacy_value,expected_class,status,note
nested-accordion,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
nested-accordion,_transform_translate_popover,popover_toggle,,,e-transform,verified,
nested-accordion,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
nested-accordion,animation_duration,select,,,animated-slow,verified,
nested-accordion,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
nested-accordion,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
nested-accordion,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
common,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
common,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
common,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
common,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
common,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
common,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
common,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
common,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
common,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
common,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
common,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
common,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
common-optimized,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
common-optimized,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
common-optimized,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
common-optimized,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
common-optimized,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
common-optimized,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
common-optimized,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
common-optimized,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
common-optimized,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
inner-section,_element_width,select,,,elementor-widget__width-inherit,no-element,the element renders nothing without site content
inner-section,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,no-element,the element renders nothing without site content
inner-section,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,no-element,the element renders nothing without site content
inner-section,_position,select,,,elementor-absolute,no-element,the element renders nothing without site content
inner-section,_transform_flipX_effect,choose,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_flipX_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_flipY_effect,choose,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_flipY_effect_hover,choose,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_rotate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_rotate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_scale_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_scale_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_skew_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_skew_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_translate_popover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,_transform_translate_popover_hover,popover_toggle,,,e-transform,no-element,the element renders nothing without site content
inner-section,animation_duration,select,,,animated-slow,no-element,the element renders nothing without site content
inner-section,hide_desktop,switcher,,,elementor-hidden-desktop,no-element,the element renders nothing without site content
inner-section,hide_mobile,switcher,,,elementor-hidden-mobile,no-element,the element renders nothing without site content
inner-section,hide_tablet,switcher,,,elementor-hidden-tablet,no-element,the element renders nothing without site content
heading,_element_width,select,,,elementor-widget__width-inherit,verified,
heading,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
heading,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
heading,_position,select,,,elementor-absolute,verified,
heading,_transform_flipX_effect,choose,,,e-transform,verified,
heading,_transform_flipX_effect_hover,choose,,,e-transform,verified,
heading,_transform_flipY_effect,choose,,,e-transform,verified,
heading,_transform_flipY_effect_hover,choose,,,e-transform,verified,
heading,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
heading,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
heading,_transform_scale_popover,popover_toggle,,,e-transform,verified,
heading,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
heading,_transform_skew_popover,popover_toggle,,,e-transform,verified,
heading,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
heading,_transform_translate_popover,popover_toggle,,,e-transform,verified,
heading,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
heading,animation_duration,select,,,animated-slow,verified,
heading,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
heading,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
heading,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
image,_element_width,select,,,elementor-widget__width-inherit,verified,
image,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
image,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
image,_position,select,,,elementor-absolute,verified,
image,_transform_flipX_effect,choose,,,e-transform,verified,
image,_transform_flipX_effect_hover,choose,,,e-transform,verified,
image,_transform_flipY_effect,choose,,,e-transform,verified,
image,_transform_flipY_effect_hover,choose,,,e-transform,verified,
image,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
image,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
image,_transform_scale_popover,popover_toggle,,,e-transform,verified,
image,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
image,_transform_skew_popover,popover_toggle,,,e-transform,verified,
image,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
image,_transform_translate_popover,popover_toggle,,,e-transform,verified,
image,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
image,animation_duration,select,,,animated-slow,verified,
image,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
image,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
image,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
text-editor,_element_width,select,,,elementor-widget__width-inherit,verified,
text-editor,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
text-editor,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
text-editor,_position,select,,,elementor-absolute,verified,
text-editor,_transform_flipX_effect,choose,,,e-transform,verified,
text-editor,_transform_flipX_effect_hover,choose,,,e-transform,verified,
text-editor,_transform_flipY_effect,choose,,,e-transform,verified,
text-editor,_transform_flipY_effect_hover,choose,,,e-transform,verified,
text-editor,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
text-editor,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
text-editor,_transform_scale_popover,popover_toggle,,,e-transform,verified,
text-editor,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
text-editor,_transform_skew_popover,popover_toggle,,,e-transform,verified,
text-editor,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
text-editor,_transform_translate_popover,popover_toggle,,,e-transform,verified,
text-editor,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
text-editor,animation_duration,select,,,animated-slow,verified,
text-editor,drop_cap,switcher,,,elementor-drop-cap-yes,verified,
text-editor,drop_cap_view,select,,,elementor-drop-cap-view-default,verified,
text-editor,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
text-editor,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
text-editor,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
video,_element_width,select,,,elementor-widget__width-inherit,verified,
video,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
video,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
video,_position,select,,,elementor-absolute,verified,
video,_transform_flipX_effect,choose,,,e-transform,verified,
video,_transform_flipX_effect_hover,choose,,,e-transform,verified,
video,_transform_flipY_effect,choose,,,e-transform,verified,
video,_transform_flipY_effect_hover,choose,,,e-transform,verified,
video,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
video,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
video,_transform_scale_popover,popover_toggle,,,e-transform,verified,
video,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
video,_transform_skew_popover,popover_toggle,,,e-transform,verified,
video,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
video,_transform_translate_popover,popover_toggle,,,e-transform,verified,
video,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
video,animation_duration,select,,,animated-slow,verified,
video,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
video,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
video,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
button,_element_width,select,,,elementor-widget__width-inherit,verified,
button,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
button,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
button,_position,select,,,elementor-absolute,verified,
button,_transform_flipX_effect,choose,,,e-transform,verified,
button,_transform_flipX_effect_hover,choose,,,e-transform,verified,
button,_transform_flipY_effect,choose,,,e-transform,verified,
button,_transform_flipY_effect_hover,choose,,,e-transform,verified,
button,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
button,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
button,_transform_scale_popover,popover_toggle,,,e-transform,verified,
button,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
button,_transform_skew_popover,popover_toggle,,,e-transform,verified,
button,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
button,_transform_translate_popover,popover_toggle,,,e-transform,verified,
button,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
button,align,choose,,,elementor-align-left,verified,
button,align_mobile,choose,mobile,,elementor-mobile-align-center,verified,
button,align_tablet,choose,tablet,,elementor-tablet-align-right,verified,
button,animation_duration,select,,,animated-slow,verified,
button,button_type,select,,,elementor-button-info,verified,
button,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
button,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
button,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
divider,_element_width,select,,,elementor-widget__width-inherit,verified,
divider,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
divider,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
divider,_position,select,,,elementor-absolute,verified,
divider,_transform_flipX_effect,choose,,,e-transform,verified,
divider,_transform_flipX_effect_hover,choose,,,e-transform,verified,
divider,_transform_flipY_effect,choose,,,e-transform,verified,
divider,_transform_flipY_effect_hover,choose,,,e-transform,verified,
divider,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
divider,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
divider,_transform_scale_popover,popover_toggle,,,e-transform,verified,
divider,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
divider,_transform_skew_popover,popover_toggle,,,e-transform,verified,
divider,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
divider,_transform_translate_popover,popover_toggle,,,e-transform,verified,
divider,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
divider,animation_duration,select,,,animated-slow,verified,
divider,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
divider,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
divider,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
divider,icon_align,choose,,,elementor-widget-divider--element-align-left,verified,
divider,icon_view,select,,,elementor-view-default,verified,
divider,pattern_round_flag,hidden,,,elementor-widget-divider--eh#379,verified,
divider,look,choose,,,elementor-widget-divider--view-line,verified,
divider,pattern_spacing_flag,hidden,,,elementor-widget-divider--eh#3D8,verified,
divider,text_align,choose,,,elementor-widget-divider--element-align-left,verified,
spacer,_element_width,select,,,elementor-widget__width-inherit,verified,
spacer,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
spacer,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
spacer,_position,select,,,elementor-absolute,verified,
spacer,_transform_flipX_effect,choose,,,e-transform,verified,
spacer,_transform_flipX_effect_hover,choose,,,e-transform,verified,
spacer,_transform_flipY_effect,choose,,,e-transform,verified,
spacer,_transform_flipY_effect_hover,choose,,,e-transform,verified,
spacer,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
spacer,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
spacer,_transform_scale_popover,popover_toggle,,,e-transform,verified,
spacer,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
spacer,_transform_skew_popover,popover_toggle,,,e-transform,verified,
spacer,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
spacer,_transform_translate_popover,popover_toggle,,,e-transform,verified,
spacer,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
spacer,animation_duration,select,,,animated-slow,verified,
spacer,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
spacer,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
spacer,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
image-box,_element_width,select,,,elementor-widget__width-inherit,verified,
image-box,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
image-box,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
image-box,_position,select,,,elementor-absolute,verified,
image-box,_transform_flipX_effect,choose,,,e-transform,verified,
image-box,_transform_flipX_effect_hover,choose,,,e-transform,verified,
image-box,_transform_flipY_effect,choose,,,e-transform,verified,
image-box,_transform_flipY_effect_hover,choose,,,e-transform,verified,
image-box,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
image-box,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
image-box,_transform_scale_popover,popover_toggle,,,e-transform,verified,
image-box,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
image-box,_transform_skew_popover,popover_toggle,,,e-transform,verified,
image-box,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
image-box,_transform_translate_popover,popover_toggle,,,e-transform,verified,
image-box,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
image-box,animation_duration,select,,,animated-slow,verified,
image-box,content_vertical_alignment,choose,,,elementor-vertical-align-top,verified,
image-box,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
image-box,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
image-box,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
image-box,position,choose,,,elementor-position-left,verified,
google_maps,_element_width,select,,,elementor-widget__width-inherit,verified,
google_maps,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
google_maps,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
google_maps,_position,select,,,elementor-absolute,verified,
google_maps,_transform_flipX_effect,choose,,,e-transform,verified,
google_maps,_transform_flipX_effect_hover,choose,,,e-transform,verified,
google_maps,_transform_flipY_effect,choose,,,e-transform,verified,
google_maps,_transform_flipY_effect_hover,choose,,,e-transform,verified,
google_maps,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
google_maps,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
google_maps,_transform_scale_popover,popover_toggle,,,e-transform,verified,
google_maps,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
google_maps,_transform_skew_popover,popover_toggle,,,e-transform,verified,
google_maps,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
google_maps,_transform_translate_popover,popover_toggle,,,e-transform,verified,
google_maps,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
google_maps,animation_duration,select,,,animated-slow,verified,
google_maps,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
google_maps,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
google_maps,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
icon,_element_width,select,,,elementor-widget__width-inherit,verified,
icon,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
icon,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
icon,_position,select,,,elementor-absolute,verified,
icon,_transform_flipX_effect,choose,,,e-transform,verified,
icon,_transform_flipX_effect_hover,choose,,,e-transform,verified,
icon,_transform_flipY_effect,choose,,,e-transform,verified,
icon,_transform_flipY_effect_hover,choose,,,e-transform,verified,
icon,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
icon,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
icon,_transform_scale_popover,popover_toggle,,,e-transform,verified,
icon,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
icon,_transform_skew_popover,popover_toggle,,,e-transform,verified,
icon,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
icon,_transform_translate_popover,popover_toggle,,,e-transform,verified,
icon,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
icon,animation_duration,select,,,animated-slow,verified,
icon,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
icon,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
icon,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
icon,shape,select,,,elementor-shape-square,verified,
icon,view,select,,,elementor-view-default,verified,
icon-box,_element_width,select,,,elementor-widget__width-inherit,verified,
icon-box,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
icon-box,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
icon-box,_position,select,,,elementor-absolute,verified,
icon-box,_transform_flipX_effect,choose,,,e-transform,verified,
icon-box,_transform_flipX_effect_hover,choose,,,e-transform,verified,
icon-box,_transform_flipY_effect,choose,,,e-transform,verified,
icon-box,_transform_flipY_effect_hover,choose,,,e-transform,verified,
icon-box,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
icon-box,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
icon-box,_transform_scale_popover,popover_toggle,,,e-transform,verified,
icon-box,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
icon-box,_transform_skew_popover,popover_toggle,,,e-transform,verified,
icon-box,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
icon-box,_transform_translate_popover,popover_toggle,,,e-transform,verified,
icon-box,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
icon-box,animation_duration,select,,,animated-slow,verified,
icon-box,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
icon-box,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
icon-box,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
icon-box,position,choose,,,elementor-position-inline-start,verified,
icon-box,position_mobile,choose,mobile,,elementor-mobile-position-inline-end,verified,
icon-box,position_tablet,choose,tablet,,elementor-tablet-position-block-start,verified,
icon-box,shape,select,,,elementor-shape-square,verified,
icon-box,position,choose,,left,elementor-position-inline-start,verified,
icon-box,view,select,,,elementor-view-default,verified,
icon-box,position,choose,,right,elementor-position-inline-end,verified,
icon-box,position,choose,,top,elementor-position-block-start,verified,
icon-box,position,choose,,bottom,elementor-position-block-end,verified,
star-rating,_element_width,select,,,elementor-widget__width-inherit,verified,
star-rating,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
star-rating,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
star-rating,_position,select,,,elementor-absolute,verified,
star-rating,_transform_flipX_effect,choose,,,e-transform,verified,
star-rating,_transform_flipX_effect_hover,choose,,,e-transform,verified,
star-rating,_transform_flipY_effect,choose,,,e-transform,verified,
star-rating,_transform_flipY_effect_hover,choose,,,e-transform,verified,
star-rating,_transform_rotate_popover,popover_toggle,,,e-transform,verified,
star-rating,_transform_rotate_popover_hover,popover_toggle,,,e-transform,verified,
star-rating,_transform_scale_popover,popover_toggle,,,e-transform,verified,
star-rating,_transform_scale_popover_hover,popover_toggle,,,e-transform,verified,
star-rating,_transform_skew_popover,popover_toggle,,,e-transform,verified,
star-rating,_transform_skew_popover_hover,popover_toggle,,,e-transform,verified,
star-rating,_transform_translate_popover,popover_toggle,,,e-transform,verified,
star-rating,_transform_translate_popover_hover,popover_toggle,,,e-transform,verified,
star-rating,align,choose,,,elementor-star-rating--align-start,verified,
star-rating,align_mobile,choose,mobile,,elementor-star-rating-mobile--align-center,verified,
star-rating,align_tablet,choose,tablet,,elementor-star-rating-tablet--align-end,verified,
star-rating,animation_duration,select,,,animated-slow,verified,
star-rating,hide_desktop,switcher,,,elementor-hidden-desktop,verified,
star-rating,hide_mobile,switcher,,,elementor-hidden-mobile,verified,
star-rating,hide_tablet,switcher,,,elementor-hidden-tablet,verified,
star-rating,star_style,select,,,elementor--star-style-star_fontawesome,verified,
star-rating,align,choose,,left,elementor-star-rating--align-start,verified,
star-rating,align,choose,,right,elementor-star-rating--align-end,verified,
image-carousel,_element_width,select,,,elementor-widget__width-inherit,verified,
image-carousel,_element_width_mobile,select,mobile,,elementor-widget-mobile__width-auto,verified,
image-carousel,_element_width_tablet,select,tablet,,elementor-widget-tablet__width-initial,verified,
image-carousel,_position,select,,,elementor-absolute,verified,
image-carousel,_transform_flipX_effect,choose,,,e-transform,verified,
image-carousel,_transform_flipX_effect_hover,choose,,,e-transform,verified,
image-carousel,_transform_flipY_effect,choose,,,e-transform,verified,
